PersonID	x	y	Time	Width	Distance	Direction	Depth	Error
0	-0.5788339	0.8157862	0.666626	5.731967965	10	370	100	0
0	0.8712551	-0.9456171	0.6889648	5.731967965	10	370	100	0
0	-1.219584	-0.1623378	0.6777344	5.731967965	10	370	100	0
0	0.2991346	0.4672582	0.6223145	5.731967965	10	370	100	0
0	-0.1193271	-1.07516	0.6889648	5.731967965	10	370	100	0
0	1.712644	0.2247429	0.7664795	5.731967965	10	370	100	0
0	0.7814019	-0.7328324	0.6888428	5.731967965	10	370	100	0
0	0.8066869	0.1246195	0.6555176	5.731967965	10	370	100	0
0	-0.009043257	-0.08633508	0.555542	5.731967965	10	370	100	0
0	0.546176	0.07423445	0.6113281	5.731967965	10	370	100	0
0	0.2387147	-0.086703	0.7557373	5.731967965	10	370	100	0
0	-0.5502113	0.07209757	0.6665039	5.731967965	10	370	100	0
0	-0.6365839	0.1279961	0.6778564	5.731967965	10	370	100	0
0	1.146773	-0.1355467	0.6112061	5.731967965	10	370	100	0
0	0.5847405	0.04813769	0.6555176	5.731967965	10	370	100	0
0	-0.566959	-0.1704537	0.6445313	5.731967965	10	370	100	0
0	-0.4861893	-0.01262388	0.72229	5.731967965	10	370	100	0
0	0.2983346	-0.2577823	0.7332764	5.731967965	10	370	100	0
0	0.8270133	-0.07835285	0.7333984	5.731967965	10	370	100	0
0	-0.2183081	0.2199935	0.6444092	5.731967965	10	370	100	0
0	1.469226	0.2558227	0.8891602	1.909947748	10	290	300	1
0	1.947657	1.304552	0.8444824	1.909947748	10	290	300	1
0	0.2887316	0.2360135	1.022339	1.909947748	10	290	300	0
0	-0.2022137	0.2958148	1.22229	1.909947748	10	290	300	0
0	-0.00372511	0.1507878	0.9667969	1.909947748	10	290	300	0
0	0.03003391	0.8086931	0.8110352	1.909947748	10	290	300	0
0	0.3153373	0.1473419	0.833252	1.909947748	10	290	300	0
0	1.007211	0.275879	0.7666016	1.909947748	10	290	300	1
0	0.1719727	0.07303098	0.777832	1.909947748	10	290	300	0
0	0.2066254	0.4300281	0.9221191	1.909947748	10	290	300	0
0	0.833387	0.04816626	0.833374	1.909947748	10	290	300	0
0	3.156796	2.025643	0.6445313	1.909947748	10	290	300	1
0	0.3264731	0.4109627	0.7868652	1.909947748	10	290	300	0
0	0.5295067	0.3427645	0.7111816	1.909947748	10	290	300	0
0	0.04450966	-0.261085	1.055664	1.909947748	10	290	300	0
0	-0.1770842	-0.4358982	0.9667969	1.909947748	10	290	300	0
0	0.1794611	-0.1414639	0.8666992	1.909947748	10	290	300	0
0	0.3301994	0.07028604	0.9666748	1.909947748	10	290	300	0
0	-0.3207621	-0.2829334	0.9000244	1.909947748	10	290	300	0
0	0.2180013	-0.2908404	0.8000488	1.909947748	10	290	300	0
0	-0.286674	-0.3308881	0.77771	1.14593469	10	70	500	0
0	-0.4690771	-0.2983009	0.8000488	1.14593469	10	70	500	0
0	0.5563549	-0.03446365	0.8222656	1.14593469	10	70	500	0
0	0.5069548	-0.5509799	0.7556152	1.14593469	10	70	500	1
0	0.2734007	-0.08326954	0.8000488	1.14593469	10	70	500	0
0	-0.8247048	-0.2813464	0.6557617	1.14593469	10	70	500	1
0	-0.3974274	-0.5398815	0.7111816	1.14593469	10	70	500	1
0	1.179703	-0.5972046	0.6890869	1.14593469	10	70	500	1
0	-0.4146432	-0.4976879	0.6777344	1.14593469	10	70	500	1
0	0.7067358	-0.5019959	0.7000732	1.14593469	10	70	500	1
0	-1.25537	0.5868468	0.666748	1.14593469	10	70	500	1
0	0.4047096	-0.2796698	0.6555176	1.14593469	10	70	500	0
0	-0.2072749	-0.02177557	0.7224121	1.14593469	10	70	500	0
0	0.004824142	-0.3338248	0.6778564	1.14593469	10	70	500	0
0	-1.491689	-0.4142113	0.6445313	1.14593469	10	70	500	1
0	0.937027	0.05236624	0.6444092	1.14593469	10	70	500	1
0	0.5045969	-0.1283376	0.8446045	1.14593469	10	70	500	0
0	-0.6737977	-0.4977535	0.7443848	1.14593469	10	70	500	1
0	-0.9059311	-0.1057313	0.7556152	1.14593469	10	70	500	1
0	0.4259589	0.1537625	0.9779053	1.14593469	10	70	500	0
0	-0.225502	-0.2361064	0.944458	5.731967965	15	130	100	0
0	0.2093576	0.7217632	1.066772	5.731967965	15	130	100	0
0	1.179582	1.480241	0.8554688	5.731967965	15	130	100	0
0	1.361847	2.022946	0.9001465	5.731967965	15	130	100	0
0	0.4597811	0.9620705	0.9779053	5.731967965	15	130	100	0
0	0.346677	0.2712644	1.011108	5.731967965	15	130	100	0
0	-1.094039	-0.2305202	0.944458	5.731967965	15	130	100	0
0	0.6826177	1.283877	0.8886719	5.731967965	15	130	100	0
0	0.01192101	-0.6658837	0.72229	5.731967965	15	130	100	0
0	0.7638755	-0.7903122	0.77771	5.731967965	15	130	100	0
0	-0.2419299	1.687052	0.7999268	5.731967965	15	130	100	0
0	0.8963053	-0.01538942	0.9111328	5.731967965	15	130	100	0
0	-0.3055797	0.8566835	0.8554688	5.731967965	15	130	100	0
0	0.5284647	0.1144627	0.8110352	5.731967965	15	130	100	0
0	0.6218364	0.7578326	0.7330322	5.731967965	15	130	100	0
