PersonID	x	y	Time	Width	Distance	Error
0	-0.7198569	-0.04512883	1.887793	1	30	1
0	-0.7179576	-0.1439416	1.389782	1	30	1
0	-0.7771601	-0.2738758	1.266918	1	30	1
0	-0.6728517	0.3401979	1.211315	1	30	1
0	0.2405798	-0.5667435	1.100155	1	30	1
0	0.1640252	0.2789292	1.011028	1	30	0
0	-0.6661629	-0.1223092	1.100101	1	30	1
0	-0.4759511	-0.01449143	0.988903	1	30	0
0	0.4725488	-0.8097441	1.033432	1	30	1
0	0.9859719	0.1938063	0.9997749	1	30	1
0	0.5249147	-0.1548326	1.133476	1	30	1
0	-0.102647	-0.2832406	1.033569	1	30	0
0	-0.1966597	0.1125536	1.233608	1	30	0
0	0.1065044	0.1885691	1.133224	1	30	0
0	0.2057643	0.07843851	1.17812	1	30	0
0	0.01584167	-0.3461153	1.088757	1	30	0
0	0.393115	0.07696771	1.222275	1	30	0
0	0.2434415	0.3046012	1.077858	1	30	0
0	-0.3697987	-0.2796981	1.333481	1	30	0
0	-0.04124177	0.2489237	1.200001	1	30	0
0	0.2341967	0.7452594	1.288872	1	35	1
0	0.1550412	0.01383423	1.166569	1	35	0
0	0.216338	0.06011637	1.155609	1	35	0
0	-0.3024063	0.4279648	1.433739	1	35	1
0	-0.3469296	0.5099775	1.311123	1	35	1
0	-0.133089	0.123489	1.189045	1	35	0
0	0.4560214	0.2122357	1.133327	1	35	1
0	1.0344	0.07049661	1.055653	1	35	1
0	-0.0733376	0.3196863	1.177673	1	35	0
0	0.7641743	0.02486208	1.155975	1	35	1
0	-0.5565881	0.1135757	1.065201	1	35	1
0	-0.0641012	0.2230094	0.9894333	1	35	0
0	-0.2315676	-0.01808426	1.02269	1	35	0
0	0.5703485	0.569552	1.122505	1	35	1
0	-0.2703944	-0.05994639	1.166862	1	35	0
0	0.1028725	0.1541619	1.233551	1	35	0
0	0.02345902	-0.3703074	1.488991	1	35	0
0	-0.02199818	-0.2553152	1.166702	1	35	0
0	-0.3026275	0.1952379	1.244606	1	35	0
0	0.04148121	0.4920559	1.188911	1	35	0
0	1.094642	-0.2905167	1.122269	1	40	1
0	-0.5463564	-0.3815288	1.244461	1	40	1
0	-0.1586343	0.04441722	1.222305	1	40	0
0	0.2903154	-0.4069861	1.266678	1	40	0
0	-0.165236	-0.05018345	1.244759	1	40	0
0	0.4070564	0.3953425	1.133186	1	40	1
0	-0.2224508	0.05204634	1.200211	1	40	0
0	0.3798693	0.37184	1.066757	1	40	1
0	1.026512	-0.08133203	1.111084	1	40	1
0	0.5115548	-0.5988199	1.07785	1	40	1
0	-0.429029	-0.2894846	1.322304	1	40	1
0	0.05446441	0.4510868	1.210953	1	40	0
0	0.2134374	0.1386728	1.433662	1	40	0
0	-0.6193072	0.3073496	1.155647	1	40	1
0	0.02730509	0.3206795	1.300095	1	40	0
0	0.4263588	-0.05323081	1.077888	1	40	0
0	-0.43962	0.04038526	1.322334	1	40	0
0	-0.1204688	-0.8463892	1.511124	1	40	1
0	-0.2254012	-0.3150337	1.344589	1	40	0
0	-0.2083088	-0.09514178	1.233353	1	40	0
